Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
Imb  (RS),304,0.764,28,0.825,1232,0.638,846,0.847,,,,,,,,,,,,
Len  is Paulista (SP),304,0.764,548,0.743,185,0.717,1315,0.837,,,,,,,,,,,,
Rosana (SP),304,0.764,435,0.749,127,0.728,2259,0.818,,,,,,,,,,,,
S o Valentim do Sul (RS),304,0.764,155,0.776,620,0.677,792,0.848,,,,,,,,,,,,
Gramado (RS),304,0.764,112,0.783,829,0.662,390,0.861,,,,,,,,,,,,
Para so do Tocantins (TO),304,0.764,297,0.759,282,0.706,1603,0.831,,,,,,,,,,,,
Fagundes Varela (RS),320,0.763,175,0.773,668,0.674,643,0.852,,,,,,,,,,,,
Ponta Grossa (PR),320,0.763,335,0.755,318,0.703,1315,0.837,84,0.72,82,0.707,99,0.605,90,0.734,,,,
Guarulhos (SP),320,0.763,494,0.746,185,0.717,1603,0.831,75,0.741,70,0.725,75,0.681,76,0.762,,,,
Natal (RN),320,0.763,202,0.768,431,0.694,1419,0.835,44,0.795,64,0.738,43,0.73,55,0.804,,,,
Jo o Pessoa (PB),320,0.763,190,0.77,442,0.693,1560,0.832,44,0.795,66,0.737,47,0.726,48,0.807,,,,
Gabriel Monteiro (SP),320,0.763,1008,0.721,24,0.762,2696,0.809,,,,,,,,,,,,
Guararapes (SP),320,0.763,870,0.727,142,0.726,1183,0.84,,,,,,,,,,,,
Buritama (SP),320,0.763,692,0.736,168,0.72,1238,0.839,,,,,,,,,,,,
Barra Funda (RS),320,0.763,805,0.731,239,0.71,527,0.856,,,,,,,,,,,,
Presidente Venceslau (SP),320,0.763,435,0.749,257,0.708,1315,0.837,,,,,,,,,,,,
Itapetininga (SP),320,0.763,848,0.728,293,0.705,319,0.864,,,,,,,,,,,,
Paranava  (PR),320,0.763,415,0.75,318,0.703,986,0.844,,,,,,,,,,,,
S o Domingos do Sul (RS),320,0.763,132,0.78,581,0.68,1238,0.839,,,,,,,,,,,,
S o Pedro do Buti  (RS),320,0.763,291,0.76,431,0.694,1032,0.843,,,,,,,,,,,,
Medianeira (PR),320,0.763,266,0.762,516,0.686,759,0.849,,,,,,,,,,,,
Serran polis do Igua u (PR),335,0.762,141,0.778,829,0.662,451,0.859,,,,,,,,,,,,
Osvaldo Cruz (SP),335,0.762,596,0.74,220,0.713,1315,0.837,,,,,,,,,,,,
S o Joaquim da Barra (SP),335,0.762,596,0.74,282,0.706,846,0.847,,,,,,,,,,,,
Itapira (SP),335,0.762,415,0.75,450,0.692,643,0.852,,,,,,,,,,,,
David Canabarro (RS),335,0.762,596,0.74,495,0.688,204,0.87,,,,,,,,,,,,
Mirassol (SP),335,0.762,462,0.748,374,0.698,901,0.846,,,,,,,,,,,,
Sumar  (SP),335,0.762,532,0.744,293,0.705,943,0.845,11,0.907,22,0.783,8,0.838,20,0.851,,,,
Boa Vista do Buric  (RS),335,0.762,281,0.761,389,0.697,1464,0.834,,,,,,,,,,,,
Itupeva (SP),335,0.762,415,0.75,364,0.699,986,0.844,,,,,,,,,,,,
Paragua u Paulista (SP),335,0.762,1111,0.717,82,0.739,1370,0.836,,,,,,,,,,,,
Mococa (SP),335,0.762,321,0.756,251,0.709,1798,0.827,,,,,,,,,,,,
S o Francisco do Sul (SC),335,0.762,596,0.74,364,0.699,527,0.856,,,,,,,,,,,,
Torres (RS),335,0.762,415,0.75,527,0.685,372,0.862,,,,,,,,,,,,
Saldanha Marinho (RS),335,0.762,517,0.745,282,0.706,1128,0.841,,,,,,,,,,,,
Santa Cruz do Rio Pardo (SP),335,0.762,532,0.744,516,0.686,257,0.867,,,,,,,,,,,,
Indiana (SP),350,0.761,1190,0.714,107,0.733,1032,0.843,,,,,,,,,,,,
Santa Rita D'Oeste (SP),350,0.761,1268,0.711,75,0.74,1238,0.839,,,,,,,,,,,,
Panambi (RS),350,0.761,375,0.752,465,0.691,792,0.848,,,,,,,,,,,,
Sert ozinho (SP),350,0.761,202,0.768,697,0.672,551,0.855,,,,,,,,,,,,
Alfenas (MG),350,0.761,665,0.737,223,0.712,1128,0.841,,,,,,,,,,,,
Zort a (SC),350,0.761,375,0.752,849,0.661,40,0.885,,,,,,,,,,,,
Entre Rios do Oeste (PR),350,0.761,141,0.778,516,0.686,1846,0.826,,,,,,,,,,,,
Iguaba Grande (RJ),350,0.761,532,0.744,305,0.704,1128,0.841,,,,,,,,,,,,
Batatais (SP),350,0.761,223,0.766,527,0.685,1183,0.84,,,,,,,,,,,,
Vila Maria (RS),350,0.761,75,0.791,802,0.664,1238,0.839,,,,,,,,,,,,
Conselheiro Lafaiete (MG),350,0.761,692,0.736,389,0.697,425,0.86,,,,,,,,,,,,
Itapo  (SC),350,0.761,621,0.739,560,0.682,135,0.874,,,,,,,,,,,,
S o Jo o do Oeste (SC),350,0.761,321,0.756,738,0.668,147,0.873,,,,,,,,,,,,
Tai  (SC),350,0.761,435,0.749,719,0.67,94,0.879,,,,,,,,,,,,
Umuarama (PR),350,0.761,335,0.755,374,0.698,1370,0.836,,,,,,,,,,,,
Nova P dua (RS),350,0.761,266,0.762,606,0.678,643,0.852,,,,,,,,,,,,
Frederico Westphalen (RS),366,0.76,349,0.754,495,0.688,901,0.846,,,,,,,,,,,,
Campinas do Sul (RS),366,0.76,360,0.753,465,0.691,1075,0.842,,,,,,,,,,,,
Ararangu  (SC),366,0.76,517,0.745,465,0.691,610,0.853,,,,,,,,,,,,
Tai va (SP),366,0.76,784,0.732,179,0.718,1419,0.835,,,,,,,,,,,,
Descalvado (SP),366,0.76,596,0.74,505,0.687,303,0.865,,,,,,,,,,,,
Serafina Corr a (RS),366,0.76,335,0.755,474,0.69,1032,0.843,,,,,,,,,,,,
Rio Negro (PR),366,0.76,1008,0.721,293,0.705,343,0.863,,,,,,,,,,,,
Estrela D'Oeste (SP),366,0.76,1248,0.712,293,0.705,147,0.873,,,,,,,,,,,,
Jandira (SP),366,0.76,639,0.738,282,0.706,1128,0.841,,,,,,,,,,,,
Tijucas (SC),366,0.76,478,0.747,697,0.672,147,0.873,,,,,,,,,,,,
Goiandira (GO),366,0.76,1268,0.711,135,0.727,759,0.849,,,,,,,,,,,,
Tapejara (RS),366,0.76,252,0.763,495,0.688,1315,0.837,,,,,,,,,,,,
Itaara (RS),366,0.76,281,0.761,505,0.687,1128,0.841,,,,,,,,,,,,
Sete Lagoas (MG),366,0.76,565,0.742,293,0.705,1183,0.84,,,,,,,,,,,,
Porto Belo (SC),366,0.76,415,0.75,870,0.66,22,0.886,,,,,,,,,,,,
Santa Ad lia (SP),366,0.76,415,0.75,331,0.702,1419,0.835,,,,,,,,,,,,
Modelo (SC),366,0.76,398,0.751,883,0.659,22,0.886,,,,,,,,,,,,
Rubin ia (SP),383,0.759,1217,0.713,142,0.726,986,0.844,,,,,,,,,,,,
Corn lio Proc pio (PR),383,0.759,494,0.746,450,0.692,792,0.848,,,,,,,,,,,,
Presidente Get lio (SC),383,0.759,241,0.764,966,0.654,135,0.874,,,,,,,,,,,,
Rio das Pedras (SP),383,0.759,580,0.741,355,0.7,1075,0.842,,,,,,,,,,,,
Tr s de Maio (RS),383,0.759,321,0.756,431,0.694,1464,0.834,,,,,,,,,,,,
Ipor  do Oeste (SC),383,0.759,548,0.743,416,0.695,846,0.847,,,,,,,,,,,,
Taquaral (SP),383,0.759,565,0.742,193,0.716,1987,0.823,,,,,,,,,,,,
S o Louren o (MG),383,0.759,494,0.746,686,0.673,181,0.871,,,,,,,,,,,,
Nova Candel ria (RS),383,0.759,66,0.794,1133,0.643,527,0.856,,,,,,,,,,,,
In bia Paulista (SP),383,0.759,1939,0.688,50,0.75,759,0.849,,,,,,,,,,,,
Monte Alegre do Sul (SP),383,0.759,375,0.752,606,0.678,473,0.858,,,,,,,,,,,,
Salvador (BA),383,0.759,179,0.772,593,0.679,1419,0.835,8,0.915,50,0.747,12,0.832,21,0.85,,,,
Pen polis (SP),383,0.759,462,0.748,581,0.68,451,0.859,,,,,,,,,,,,
Santo Ant nio do Planalto (RS),383,0.759,1547,0.701,293,0.705,40,0.885,,,,,,,,,,,,
V rzea Paulista (SP),383,0.759,1039,0.72,293,0.705,343,0.863,,,,,,,,,,,,
Caraguatatuba (SP),383,0.759,715,0.735,293,0.705,943,0.845,,,,,,,,,,,,
Gurupi (TO),383,0.759,692,0.736,282,0.706,1032,0.843,,,,,,,,,,,,
S o Jos  dos Pinhais (PR),400,0.758,435,0.749,606,0.678,451,0.859,72,0.746,47,0.752,61,0.706,75,0.763,,,,
Cordeir polis (SP),400,0.758,349,0.754,668,0.674,473,0.858,,,,,,,,,,,,
Nova Mutum (MT),400,0.758,175,0.773,686,0.673,1315,0.837,,,,,,,,,,,,
Porto Feliz (SP),400,0.758,665,0.737,282,0.706,1370,0.836,,,,,,,,,,,,
Piratuba (SC),400,0.758,692,0.736,212,0.714,1704,0.829,,,,,,,,,,,,
Ant nio Prado (RS),400,0.758,151,0.777,708,0.671,1419,0.835,,,,,,,,,,,,
Faxinal dos Guedes (SC),400,0.758,494,0.746,634,0.676,343,0.863,,,,,,,,,,,,
Picada Caf  (RS),400,0.758,639,0.738,344,0.701,1075,0.842,,,,,,,,,,,,
 lvares Machado (SP),400,0.758,1248,0.712,114,0.732,1464,0.834,,,,,,,,,,,,
Iguara u (PR),400,0.758,1190,0.714,114,0.732,1515,0.833,,,,,,,,,,,,
Piraju (SP),400,0.758,596,0.74,364,0.699,1032,0.843,,,,,,,,,,,,
S o Jo o Del Rei (MG),400,0.758,765,0.733,474,0.69,425,0.86,,,,,,,,,,,,
Fernando Prestes (SP),400,0.758,494,0.746,581,0.68,451,0.859,,,,,,,,,,,,
Herval D'Oeste (SC),400,0.758,596,0.74,538,0.684,451,0.859,,,,,,,,,,,,
Marip  (PR),400,0.758,692,0.736,538,0.684,276,0.866,,,,,,,,,,,,
Ita na (MG),400,0.758,435,0.749,527,0.685,722,0.85,,,,,,,,,,,,
Guabiju (RS),400,0.758,25,0.831,1727,0.612,501,0.857,,,,,,,,,,,,
Nova Londrina (PR),400,0.758,715,0.735,465,0.691,527,0.856,,,,,,,,,,,,
Jo o Monlevade (MG),400,0.758,937,0.724,257,0.708,759,0.849,,,,,,,,,,,,
Colorado (RS),400,0.758,162,0.775,668,0.674,1419,0.835,,,,,,,,,,,,
Palho a (SC),420,0.757,375,0.752,697,0.672,451,0.859,,,,,,,,,,,,
Vanini (RS),420,0.757,692,0.736,305,0.704,1370,0.836,,,,,,,,,,,,
 guas de Santa B rbara (SP),420,0.757,532,0.744,416,0.695,1183,0.84,,,,,,,,,,,,
Santo Ant nio do Aracangu  (SP),420,0.757,1293,0.71,127,0.728,1183,0.84,,,,,,,,,,,,
Santa Rosa de Lima (SC),420,0.757,897,0.726,239,0.71,1032,0.843,,,,,,,,,,,,
Presidente Bernardes (SP),420,0.757,1091,0.718,172,0.719,1238,0.839,,,,,,,,,,,,
Dois Lajeados (RS),420,0.757,162,0.775,719,0.67,1315,0.837,,,,,,,,,,,,
Cachoeirinha (RS),420,0.757,435,0.749,648,0.675,501,0.857,,,,,,,,,,,,
Gravatal (SC),420,0.757,897,0.726,573,0.681,110,0.877,,,,,,,,,,,,
Pedro Leopoldo (MG),420,0.757,961,0.723,355,0.7,527,0.856,,,,,,,,,,,,
Vista Ga cha (RS),420,0.757,166,0.774,731,0.669,1238,0.839,,,,,,,,,,,,
Chapada (RS),420,0.757,375,0.752,593,0.679,759,0.849,,,,,,,,,,,,
Est ncia Velha (RS),420,0.757,435,0.749,995,0.652,19,0.887,,,,,,,,,,,,
Colina (SP),420,0.757,1039,0.72,223,0.712,943,0.845,,,,,,,,,,,,
Piquete (SP),420,0.757,1268,0.711,75,0.74,1987,0.823,,,,,,,,,,,,
Jata  (GO),420,0.757,166,0.774,930,0.656,527,0.856,,,,,,,,,,,,
Campo Mour o (PR),420,0.757,435,0.749,483,0.689,1128,0.841,,,,,,,,,,,,
Canoinhas (SC),420,0.757,1111,0.717,450,0.692,135,0.874,,,,,,,,,,,,
Presidente Lucena (RS),420,0.757,870,0.727,668,0.674,40,0.885,,,,,,,,,,,,
Diadema (SP),420,0.757,1111,0.717,193,0.716,986,0.844,51,0.783,60,0.74,35,0.739,66,0.781,,,,
Balne rio Pi arras (SC),440,0.756,517,0.745,738,0.668,222,0.869,,,,,,,,,,,,
Pirangi (SP),440,0.756,715,0.735,344,0.701,1315,0.837,,,,,,,,,,,,
Passos (MG),440,0.756,580,0.741,898,0.658,22,0.886,,,,,,,,,,,,
Quinze de Novembro (RS),440,0.756,112,0.783,945,0.655,1128,0.841,,,,,,,,,,,,
Contagem (MG),440,0.756,517,0.745,389,0.697,1560,0.832,76,0.739,48,0.751,53,0.718,68,0.78,,,,
Jambeiro (SP),440,0.756,870,0.727,474,0.69,425,0.86,,,,,,,,,,,,
Ilhabela (SP),440,0.756,621,0.739,442,0.693,1032,0.843,,,,,,,,,,,,
Hortol ndia (SP),440,0.756,1136,0.716,318,0.703,451,0.859,,,,,,,,,,,,
Fortaleza dos Valos (RS),440,0.756,137,0.779,815,0.663,1315,0.837,,,,,,,,,,,,
Itabira (MG),440,0.756,832,0.729,606,0.678,147,0.873,,,,,,,,,,,,
Nova Castilho (SP),440,0.756,1768,0.694,36,0.755,1987,0.823,,,,,,,,,,,,
B lsamo (SP),440,0.756,494,0.746,416,0.695,1419,0.835,,,,,,,,,,,,
Cravinhos (SP),440,0.756,665,0.737,548,0.683,501,0.857,,,,,,,,,,,,
Montenegro (RS),453,0.755,281,0.761,966,0.654,276,0.866,,,,,,,,,,,,
Cianorte (PR),453,0.755,478,0.747,527,0.685,1128,0.841,,,,,,,,,,,,
Rondon polis (MT),453,0.755,435,0.749,374,0.698,1987,0.823,,,,,,,,,,,,
S o Pedro (SP),453,0.755,580,0.741,668,0.674,343,0.863,,,,,,,,,,,,
Orleans (SC),453,0.755,435,0.749,914,0.657,147,0.873,,,,,,,,,,,,
S o Jos  do Ouro (RS),453,0.755,297,0.759,731,0.669,901,0.846,,,,,,,,,,,,
Saudades (SC),453,0.755,961,0.723,355,0.7,722,0.85,,,,,,,,,,,,
Aparecida (SP),453,0.755,715,0.735,282,0.706,1747,0.828,,,,,,,,,,,,
Brodowski (SP),453,0.755,639,0.738,648,0.675,319,0.864,,,,,,,,,,,,
Formiga (MG),453,0.755,832,0.729,634,0.676,135,0.874,,,,,,,,,,,,
Ponga  (SP),453,0.755,870,0.727,344,0.701,986,0.844,,,,,,,,,,,,
Alto Bela Vista (SC),453,0.755,739,0.734,802,0.664,70,0.882,,,,,,,,,,,,
S o Ludgero (SC),453,0.755,321,0.756,548,0.683,1464,0.834,,,,,,,,,,,,
Coronel Fabriciano (MG),453,0.755,1166,0.715,404,0.696,303,0.865,,,,,,,,,,,,
Cunhata  (SC),467,0.754,151,0.777,1535,0.623,22,0.886,,,,,,,,,,,,
Constantina (RS),467,0.754,897,0.726,738,0.668,40,0.885,,,,,,,,,,,,
S o Vendelino (RS),467,0.754,548,0.743,620,0.677,643,0.852,,,,,,,,,,,,
Registro (SP),467,0.754,1091,0.718,331,0.702,702,0.851,,,,,,,,,,,,
Rodeio (SC),467,0.754,194,0.769,1473,0.626,15,0.889,,,,,,,,,,,,
Praia Grande (SP),467,0.754,532,0.744,450,0.692,1464,0.834,13,0.905,36,0.764,12,0.832,26,0.837,,,,
Fortaleza (CE),467,0.754,435,0.749,416,0.695,1951,0.824,18,0.894,55,0.744,16,0.822,31,0.828,,,,
Rio do Oeste (SC),467,0.754,194,0.769,1492,0.625,6,0.892,,,,,,,,,,,,
Anal ndia (SP),467,0.754,517,0.745,738,0.668,390,0.861,,,,,,,,,,,,
Mongagu  (SP),467,0.754,1069,0.719,364,0.699,581,0.854,,,,,,,,,,,,
Sinop (MT),467,0.754,335,0.755,560,0.682,1560,0.832,,,,,,,,,,,,
Chapad o do Sul (MS),467,0.754,303,0.758,787,0.665,722,0.85,,,,,,,,,,,,
Neves Paulista (SP),467,0.754,665,0.737,269,0.707,1987,0.823,,,,,,,,,,,,
Guabiruba (SC),467,0.754,415,0.75,982,0.653,118,0.876,,,,,,,,,,,,
Borac ia (SP),467,0.754,961,0.723,527,0.685,276,0.866,,,,,,,,,,,,
Vera Cruz (SP),467,0.754,989,0.722,205,0.715,1647,0.83,,,,,,,,,,,,
Lauro de Freitas (BA),467,0.754,125,0.781,815,0.663,1798,0.827,,,,,,,,,,,,
Flores da Cunha (RS),467,0.754,97,0.786,1157,0.642,759,0.849,,,,,,,,,,,,
Esteio (RS),467,0.754,194,0.769,829,0.662,1032,0.843,,,,,,,,,,,,
Rio Verde (GO),467,0.754,232,0.765,930,0.656,610,0.853,,,,,,,,,,,,
Corumbata  (SP),467,0.754,848,0.728,355,0.7,1128,0.841,,,,,,,,,,,,
Nil polis (RJ),488,0.753,805,0.731,193,0.716,2307,0.817,,,,,,,,,,,,
Esta  o (RS),488,0.753,375,0.752,668,0.674,1032,0.843,,,,,,,,,,,,
Tarum  (SP),488,0.753,639,0.738,581,0.68,643,0.852,,,,,,,,,,,,
Monte Azul Paulista (SP),488,0.753,765,0.733,474,0.69,1032,0.843,,,,,,,,,,,,
Rancho Queimado (SC),488,0.753,548,0.743,1112,0.644,5,0.893,,,,,,,,,,,,
Palmeira D'Oeste (SP),488,0.753,1039,0.72,212,0.714,1704,0.829,,,,,,,,,,,,
Ajuricaba (RS),488,0.753,252,0.763,898,0.658,722,0.85,,,,,,,,,,,,
Gua ra (SP),488,0.753,297,0.759,548,0.683,1951,0.824,,,,,,,,,,,,
Congonhas (MG),488,0.753,784,0.732,787,0.665,110,0.877,,,,,,,,,,,,
Novo Horizonte (SP),488,0.753,580,0.741,787,0.665,303,0.865,,,,,,,,,,,,
Santo Anast cio (SP),488,0.753,918,0.725,483,0.689,581,0.854,,,,,,,,,,,,
Salvador das Miss es (RS),488,0.753,1293,0.71,282,0.706,702,0.851,,,,,,,,,,,,
Magda (SP),488,0.753,937,0.724,185,0.717,1987,0.823,,,,,,,,,,,,
Forquilhinha (SC),488,0.753,349,0.754,914,0.657,390,0.861,,,,,,,,,,,,
Nicolau Vergueiro (RS),488,0.753,179,0.772,870,0.66,1238,0.839,,,,,,,,,,,,
Garopaba (SC),488,0.753,665,0.737,738,0.668,238,0.868,,,,,,,,,,,,
Mangaratiba (RJ),488,0.753,494,0.746,634,0.676,943,0.845,,,,,,,,,,,,
Ipe na (SP),488,0.753,665,0.737,527,0.685,943,0.845,,,,,,,,,,,,
Jo o Neiva (ES),488,0.753,398,0.751,815,0.663,501,0.857,,,,,,,,,,,,
Tr s Fronteiras (SP),488,0.753,1293,0.71,142,0.726,1704,0.829,,,,,,,,,,,,
Tr s Marias (MG),508,0.752,1405,0.706,416,0.695,276,0.866,,,,,,,,,,,,
Aracruz (ES),508,0.752,1111,0.717,269,0.707,1281,0.838,,,,,,,,,,,,
Westfalia (RS),508,0.752,61,0.796,1395,0.63,759,0.849,,,,,,,,,,,,
Pranchita (PR),508,0.752,548,0.743,404,0.696,2112,0.821,,,,,,,,,,,,
Capinzal (SC),508,0.752,565,0.742,883,0.659,222,0.869,,,,,,,,,,,,
Marapoama (SP),508,0.752,692,0.736,593,0.679,643,0.852,,,,,,,,,,,,
Luc lia (SP),508,0.752,848,0.728,416,0.695,1128,0.841,,,,,,,,,,,,
Boa Vista (RR),508,0.752,665,0.737,257,0.708,2357,0.816,79,0.733,57,0.742,59,0.707,48,0.807,,,,
Primavera do Leste (MT),508,0.752,166,0.774,982,0.653,1032,0.843,,,,,,,,,,,,
Xaxim (SC),508,0.752,665,0.737,829,0.662,181,0.871,,,,,,,,,,,,
Laguna (SC),508,0.752,1166,0.715,560,0.682,181,0.871,,,,,,,,,,,,
Tun polis (SC),508,0.752,848,0.728,305,0.704,1647,0.83,,,,,,,,,,,,
Monte Belo do Sul (RS),508,0.752,375,0.752,815,0.663,643,0.852,,,,,,,,,,,,
En as Marques (PR),508,0.752,213,0.767,802,0.664,1419,0.835,,,,,,,,,,,,
Severiano de Almeida (RS),508,0.752,639,0.738,719,0.67,390,0.861,,,,,,,,,,,,
Aragua na (TO),508,0.752,870,0.727,223,0.712,2112,0.821,,,,,,,,,,,,
Tatu  (SP),508,0.752,739,0.734,495,0.688,1075,0.842,,,,,,,,,,,,
Itumbiara (GO),508,0.752,532,0.744,560,0.682,1281,0.838,,,,,,,,,,,,
Planalto Alegre (SC),526,0.751,805,0.731,883,0.659,77,0.881,,,,,,,,,,,,
Guaxup  (MG),526,0.751,832,0.729,883,0.659,83,0.88,,,,,,,,,,,,
Foz do Igua u (PR),526,0.751,462,0.748,849,0.661,473,0.858,97,0.686,98,0.667,105,0.589,99,0.713,,,,
Guaruj  (SP),526,0.751,832,0.729,593,0.679,581,0.854,53,0.777,67,0.734,51,0.721,66,0.781,,,,
Teresina (PI),526,0.751,805,0.731,269,0.707,2161,0.82,52,0.782,69,0.728,43,0.73,53,0.805,,,,
Turi ba (SP),526,0.751,1217,0.713,167,0.721,1951,0.824,,,,,,,,,,,,
Bastos (SP),526,0.751,1707,0.696,179,0.718,792,0.848,,,,,,,,,,,,
Indiapor  (SP),526,0.751,1190,0.714,239,0.71,1419,0.835,,,,,,,,,,,,
Am rico Brasiliense (SP),526,0.751,1318,0.709,344,0.701,643,0.852,,,,,,,,,,,,
Sales (SP),526,0.751,1346,0.708,389,0.697,451,0.859,,,,,,,,,,,,
Porto Ferreira (SP),526,0.751,692,0.736,404,0.696,1798,0.827,,,,,,,,,,,,
Tapiratiba (SP),526,0.751,1473,0.703,450,0.692,204,0.87,,,,,,,,,,,,
Mandaguari (PR),526,0.751,784,0.732,483,0.689,1183,0.84,,,,,,,,,,,,
Cataguases (MG),526,0.751,1091,0.718,527,0.685,390,0.861,,,,,,,,,,,,
Rancharia (SP),526,0.751,1039,0.72,548,0.683,390,0.861,,,,,,,,,,,,
Ubatuba (SP),526,0.751,580,0.741,593,0.679,1128,0.841,,,,,,,,,,,,
Sert o (RS),526,0.751,494,0.746,606,0.678,1315,0.837,,,,,,,,,,,,
Catigu  (SP),526,0.751,739,0.734,634,0.676,643,0.852,,,,,,,,,,,,
Guaramirim (SC),526,0.751,462,0.748,1176,0.641,40,0.885,,,,,,,,,,,,
Cambu  (MG),526,0.751,989,0.722,668,0.674,169,0.872,,,,,,,,,,,,
Nhandeara (SP),526,0.751,335,0.755,697,0.672,1419,0.835,,,,,,,,,,,,
Os rio (RS),526,0.751,194,0.769,1082,0.646,610,0.853,,,,,,,,,,,,
Guaraciaba (SC),526,0.751,349,0.754,1082,0.646,181,0.871,,,,,,,,,,,,
Pinhais (PR),526,0.751,281,0.761,768,0.666,1370,0.836,,,,,,,,,,,,
Mirand polis (SP),526,0.751,784,0.732,787,0.665,222,0.869,,,,,,,,,,,,
Paranagu  (PR),551,0.75,765,0.733,634,0.676,643,0.852,,,,,,,,,,,,
Campo Verde (MT),551,0.75,335,0.755,719,0.67,1464,0.834,,,,,,,,,,,,
Bom Despacho (MG),551,0.75,565,0.742,849,0.661,390,0.861,,,,,,,,,,,,
S o Jo o do Pau D'Alho (SP),551,0.75,1190,0.714,450,0.692,581,0.854,,,,,,,,,,,,
 gua Santa (RS),551,0.75,18,0.84,2157,0.59,722,0.85,,,,,,,,,,,,
Canoas (RS),551,0.75,202,0.768,1271,0.636,319,0.864,63,0.763,32,0.773,64,0.701,69,0.777,,,,
Cruz Alta (RS),551,0.75,349,0.754,982,0.653,473,0.858,,,,,,,,,,,,
Bariri (SP),551,0.75,692,0.736,829,0.662,257,0.867,,,,,,,,,,,,
Feliz (RS),551,0.75,303,0.758,898,0.658,846,0.847,,,,,,,,,,,,
Presidente Epit cio (SP),551,0.75,1190,0.714,355,0.7,943,0.845,,,,,,,,,,,,
Capivari (SP),551,0.75,532,0.744,731,0.669,792,0.848,,,,,,,,,,,,
Peru be (SP),562,0.749,817,0.73,648,0.675,581,0.854,,,,,,,,,,,,
Campos do Jord o (SP),562,0.749,281,0.761,1050,0.648,643,0.852,,,,,,,,,,,,
Artur Nogueira (SP),562,0.749,517,0.745,573,0.681,1798,0.827,,,,,,,,,,,,
Arcos (MG),562,0.749,1111,0.717,708,0.671,135,0.874,,,,,,,,,,,,
Oscar Bressane (SP),562,0.749,1217,0.713,205,0.715,1987,0.823,,,,,,,,,,,,
Embu-Gua u (SP),562,0.749,1217,0.713,257,0.708,1464,0.834,,,,,,,,,,,,
Ant nio Carlos (SC),562,0.749,202,0.768,1687,0.615,11,0.89,,,,,,,,,,,,
Linha Nova (RS),562,0.749,398,0.751,829,0.662,901,0.846,,,,,,,,,,,,
Ipu  (SP),562,0.749,297,0.759,966,0.654,792,0.848,,,,,,,,,,,,
Harmonia (RS),562,0.749,462,0.748,738,0.668,1128,0.841,,,,,,,,,,,,
Carapicu ba (SP),562,0.749,1008,0.721,442,0.693,1075,0.842,86,0.717,84,0.703,77,0.679,92,0.729,,,,
Pareci Novo (RS),562,0.749,639,0.738,738,0.668,643,0.852,,,,,,,,,,,,
Para so (SP),562,0.749,398,0.751,738,0.668,1315,0.837,,,,,,,,,,,,
Betim (MG),562,0.749,1318,0.709,505,0.687,319,0.864,5,0.931,17,0.798,3,0.862,9,0.871,,,,
Laurentino (SC),562,0.749,565,0.742,829,0.662,551,0.855,,,,,,,,,,,,
Piraju  (SP),562,0.749,739,0.734,697,0.672,610,0.853,,,,,,,,,,,,
Rio Grande da Serra (SP),562,0.749,2035,0.684,69,0.745,1987,0.823,,,,,,,,,,,,
Terra Roxa (SP),562,0.749,784,0.732,538,0.684,1281,0.838,,,,,,,,,,,,
S o Louren o do Oeste (SC),562,0.749,462,0.748,416,0.695,2805,0.807,,,,,,,,,,,,
Uni o Paulista (SP),562,0.749,1678,0.697,364,0.699,343,0.863,,,,,,,,,,,,
Xavantina (SC),562,0.749,179,0.772,1350,0.632,390,0.861,,,,,,,,,,,,
Arapongas (PR),583,0.748,398,0.751,731,0.669,1464,0.834,,,,,,,,,,,,
Taquaritinga (SP),583,0.748,870,0.727,404,0.696,1798,0.827,,,,,,,,,,,,
Canela (RS),583,0.748,639,0.738,758,0.667,759,0.849,,,,,,,,,,,,
Monda  (SC),583,0.748,848,0.728,914,0.657,128,0.875,,,,,,,,,,,,
Cabedelo (PB),583,0.748,116,0.782,1010,0.651,2064,0.822,,,,,,,,,,,,
Miraselva (PR),583,0.748,1768,0.694,269,0.707,581,0.854,,,,,,,,,,,,
Cafel ndia (PR),583,0.748,961,0.723,450,0.692,1419,0.835,,,,,,,,,,,,
Bar o (RS),583,0.748,213,0.767,995,0.652,1370,0.836,,,,,,,,,,,,
Ituporanga (SC),583,0.748,435,0.749,1232,0.638,118,0.876,,,,,,,,,,,,
Apucarana (PR),583,0.748,580,0.741,738,0.668,943,0.845,,,,,,,,,,,,
Barra do Gar as (MT),583,0.748,639,0.738,442,0.693,2307,0.817,,,,,,,,,,,,
S o Jo o de Iracema (SP),583,0.748,2090,0.682,93,0.738,1515,0.833,,,,,,,,,,,,
Duartina (SP),583,0.748,1136,0.716,374,0.698,1315,0.837,,,,,,,,,,,,
Nova Trento (SC),583,0.748,435,0.749,1433,0.628,7,0.891,,,,,,,,,,,,
Tanabi (SP),583,0.748,715,0.735,505,0.687,1704,0.829,,,,,,,,,,,,
S o Jo o do Pol sine (RS),583,0.748,462,0.748,849,0.661,846,0.847,,,,,,,,,,,,
